"^2THR ^3Daniel ^s1 "6
-590.598 587.516 187.987 0
-584.552 575.933 188.405 0
-578.202 564.529 186.658 0
-571.36 553.94 176.539 0
-564.486 544.369 164.773 0
-557.765 535.664 151.908 0
-550.978 528.113 141.823 0
-544.384 521.396 130.836 0
-537.77 515.624 122.487 0
-531.233 510.6 115.28 0
-524.7 506.338 109.567 0
-517.699 502.925 110.006 0
-510.843 499.888 107.611 0
-504.251 496.26 108.149 0
-498.06 491.978 108.215 0
-492.452 487.152 104.337 0
-487.474 481.587 107.688 0
-483.249 475.306 110.171 0
-479.858 468.383 112.434 0
-477.085 461.036 113.95 0
-475.478 453.121 117.158 0
-474.44 444.99 119.213 0
-473.778 436.587 121.223 0
-473.605 427.953 124.058 0
-473.646 419.128 126.376 0
-473.798 410.098 130.968 0
-474.148 400.91 133.923 0
-474.277 391.527 136.406 0
-474.68 381.967 139.252 0
-474.928 372.25 141.603 0
-475.298 362.334 144.229 0
-475.605 352.238 146.766 0
-475.592 342.085 147.733 0
-475.705 331.749 149.579 0
-475.689 321.286 151.787 0
-475.611 310.672 153.589 0
-475.405 299.932 155.753 0
-474.954 289.057 157.797 0
-474.342 278.049 159.796 0
